"","qubit","red","green","blue","error_rate"
"1","q0_5",59,113,142,0.00249965566907814
"2","q0_6",71,53,126,0.00125701337452183
"3","q1_4",69,67,134,0.00146408569594563
"4","q1_5",66,77,138,0.00162450479271247
"5","q1_6",58,131,142,0.00315944083726735
"6","q1_7",71,48,123,0.00118920711500272
"7","q2_4",71,33,109,0.00100695555005672
"8","q2_5",71,34,110,0.00102101212570719
"9","q2_6",64,83,139,0.00174110112659225
"10","q2_7",71,56,129,0.00130134185544193
"11","q2_8",70,60,132,0.00135660432744767
"12","q3_2",64,82,139,0.00171713087287551
"13","q3_3",71,57,130,0.00131039340385836
"14","q3_4",71,46,122,0.00116473358646846
"15","q3_5",71,50,125,0.00121419488439505
"16","q3_6",69,67,134,0.00146408569594563
"17","q3_7",70,60,132,0.00135660432744767
"18","q3_8",60,99,142,0.00208275948798482
"19","q3_9",58,138,140,0.00346410161513775
"20","q4_1",65,80,138,0.00168179283050743
"21","q4_2",72,45,121,0.00114869835499704
"22","q4_3",69,67,134,0.00146408569594563
"23","q4_4",65,79,138,0.00167017583885674
"24","q4_5",67,8,85,8e-04
"25","q4_6",69,17,94,0.000864670518759074
"26","q4_7",71,56,129,0.00130134185544193
"27","q4_8",60,105,142,0.00224955419698407
"28","q4_9",69,65,134,0.00143395524801583
"29","q5_0",65,79,138,0.00167017583885674
"30","q5_1",66,73,137,0.001558329159321
"31","q5_2",69,67,134,0.00146408569594563
"32","q5_3",70,63,133,0.001404444875738
"33","q5_4",64,86,139,0.00180250092522166
"34","q5_5",71,56,129,0.00130134185544193
"35","q5_6",71,40,117,0.00109429370126074
"36","q5_7",71,38,116,0.00107177346253629
"37","q5_8",59,112,142,0.00246943415358078
"38","q6_1",64,84,139,0.00175321144263207
"39","q6_2",70,60,132,0.00135660432744767
"40","q6_3",71,49,124,0.00120580782769076
"41","q6_4",62,97,141,0.00202447647000714
"42","q6_5",71,57,130,0.00131039340385836
"43","q6_6",70,64,134,0.0014142135623731
"44","q6_7",71,28,105,0.000958731515514183
"45","q7_2",69,67,134,0.00146408569594563
"46","q7_3",68,68,135,0.0014742692172911
"47","q7_4",62,95,141,0.00198618499087407
"48","q7_5",64,84,139,0.00175321144263207
"49","q7_6",59,119,142,0.00269983689131115
"50","q8_3",71,53,126,0.00125701337452183
"51","q8_4",63,94,141,0.00195884059517385
"52","q8_5",66,73,137,0.001558329159321
"53","q9_4",61,97,141,0.00202447647000714
