"","error_rate","red","green","blue"
"1",8e-04,67,8,86
"2",0.00080094281941692,67.03,8.14,86.12
"3",0.000801886749969405,67.06,8.28,86.24
"4",0.000802831792966957,67.09,8.42,86.36
"5",0.000803777949720619,67.12,8.56,86.48
"6",0.00080472522154298,67.15,8.7,86.6
"7",0.000805673609748174,67.18,8.84,86.72
"8",0.000806623115651887,67.21,8.98,86.84
"9",0.000807573740571353,67.24,9.12,86.96
"10",0.000808525485825359,67.27,9.26,87.08
"11",0.000809478352734247,67.3,9.4,87.2
"12",0.000810432342619914,67.33,9.54,87.32
"13",0.000811387456805816,67.36,9.68,87.44
"14",0.000812343696616968,67.39,9.82,87.56
"15",0.000813301063379947,67.42,9.96,87.68
"16",0.000814259558422892,67.45,10.1,87.8
"17",0.000815219183075508,67.48,10.24,87.92
"18",0.000816179938669069,67.51,10.38,88.04
"19",0.000817141826536416,67.54,10.52,88.16
"20",0.000818104848011961,67.57,10.66,88.28
"21",0.000819069004431688,67.6,10.8,88.4
"22",0.000820034297133157,67.63,10.94,88.52
"23",0.000821000727455503,67.66,11.08,88.64
"24",0.000821968296739441,67.69,11.22,88.76
"25",0.000822937006327264,67.72,11.36,88.88
"26",0.000823906857562847,67.75,11.5,89
"27",0.000824877851791651,67.78,11.64,89.12
"28",0.000825849990360722,67.81,11.78,89.24
"29",0.00082682327461869,67.84,11.92,89.36
"30",0.000827797705915779,67.87,12.06,89.48
"31",0.000828773285603803,67.9,12.2,89.6
"32",0.000829750015036167,67.93,12.34,89.72
"33",0.000830727895567874,67.96,12.48,89.84
"34",0.000831706928555522,67.99,12.62,89.96
"35",0.000832687115357307,68.02,12.76,90.08
"36",0.000833668457333029,68.05,12.9,90.2
"37",0.000834650955844088,68.08,13.04,90.32
"38",0.000835634612253488,68.11,13.18,90.44
"39",0.000836619427925842,68.14,13.32,90.56
"40",0.000837605404227367,68.17,13.46,90.68
"41",0.000838592542525895,68.2,13.6,90.8
"42",0.000839580844190867,68.23,13.74,90.92
"43",0.000840570310593338,68.26,13.88,91.04
"44",0.00084156094310598,68.29,14.02,91.16
"45",0.000842552743103081,68.32,14.16,91.28
"46",0.000843545711960552,68.35,14.3,91.4
"47",0.000844539851055921,68.38,14.44,91.52
"48",0.000845535161768344,68.41,14.58,91.64
"49",0.000846531645478598,68.44,14.72,91.76
"50",0.000847529303569091,68.47,14.86,91.88
"51",0.000848528137423857,68.5,15,92
"52",0.000849528148428564,68.53,15.14,92.12
